iter	Passed	Remaining
437	1389	315784
438	1392	315713
439	1394	315636
440	1397	315580
441	1400	315493
442	1403	315428
443	1406	315367
444	1409	315327
445	1412	315278
446	1416	315391
447	1420	315673
448	1423	315716
449	1427	315719
450	1430	315712
451	1433	315645
452	1436	315602
453	1439	315587
454	1441	315471
455	1444	315359
456	1447	315287
457	1450	315296
458	1453	315233
459	1456	315136
460	1459	315080
461	1462	315072
462	1465	314969
463	1467	314863
464	1471	314873
465	1474	314839
466	1477	314856
467	1480	314820
468	1483	314761
469	1486	314716
470	1489	314728
471	1492	314691
472	1495	314641
473	1498	314582
474	1501	314623
475	1504	314578
476	1507	314517
477	1510	314516
478	1513	314406
479	1516	314350
480	1519	314282
481	1522	314341
482	1525	314331
483	1528	314226
484	1531	314159
485	1534	314165
486	1537	314109
487	1540	314068
488	1543	314035
489	1546	313972
490	1549	313997
491	1552	314067
492	1556	314112
493	1559	314064
494	1562	314055
495	1565	314085
496	1568	314056
497	1571	314005
498	1574	314007
499	1577	313968
500	1580	313982
501	1584	313972
502	1586	313912
503	1589	313839
504	1592	313783
505	1596	313853
506	1599	313802
507	1601	313748
508	1605	313735
509	1607	313680
510	1611	313694
511	1614	313622
512	1617	313592
513	1619	313512
514	1622	313474
515	1625	313430
516	1628	313410
517	1631	313335
518	1634	313273
519	1637	313185
520	1639	313134
521	1642	313065
522	1645	313034
523	1648	313045
524	1652	313034
525	1655	313048
526	1658	313042
527	1661	313000
528	1664	312959
529	1667	312892
530	1670	312851
531	1673	312818
532	1675	312765
533	1678	312734
534	1682	312758
535	1685	312721
536	1689	312882
537	1692	312865
538	1695	312851
539	1698	312805
540	1701	312781
541	1704	312783
542	1707	312790
543	1710	312776
544	1714	312825
545	1717	312834
546	1720	312791
547	1723	312725
548	1725	312648
549	1728	312589
550	1731	312518
551	1734	312488
552	1737	312469
553	1740	312404
554	1743	312386
555	1746	312364
556	1749	312330
557	1752	312252
558	1755	312202
559	1757	312169
560	1761	312151
561	1763	312113
562	1766	312064
563	1769	312031
564	1772	312008
565	1776	312034
566	1779	311982
567	1781	311946
568	1785	311924
569	1787	311832
570	1790	311755
571	1793	311759
572	1796	311733
573	1799	311677
574	1802	311691
575	1805	311639
576	1809	311754
577	1812	311806
578	1815	311769
579	1818	311732
580	1821	311735
581	1825	311771
582	1828	311800
583	1831	311797
584	1834	311715
585	1836	311638
586	1839	311602
587	1843	311657
588	1846	311644
589	1849	311639
590	1852	311587
591	1855	311565
592	1858	311551
593	1861	311475
594	1864	311439
595	1867	311475
596	1870	311464
597	1873	311438
598	1876	311420
599	1879	311446
600	1882	311420
601	1886	311426
602	1889	311410
603	1892	311430
604	1895	311416
605	1898	311372
606	1901	311345
607	1904	311317
608	1907	311274
609	1910	311242
610	1912	311165
611	1916	311167
612	1918	311107
613	1921	311045
614	1924	310986
615	1927	310900
616	1930	310894
617	1933	310860
618	1935	310814
619	1938	310793
620	1942	310806
621	1945	310799
622	1948	310766
623	1950	310708
624	1953	310664
625	1956	310610
626	1959	310545
627	1962	310560
628	1966	310611
629	1969	310571
630	1971	310525
631	1974	310474
632	1977	310475
633	1980	310450
634	1983	310427
635	1986	310406
636	1989	310411
637	1993	310426
638	1996	310425
639	1999	310383
640	2002	310365
641	2005	310323
642	2008	310289
643	2010	310231
644	2013	310151
645	2016	310095
646	2019	310040
647	2021	309992
648	2028	310485
649	2031	310466
650	2034	310470
651	2037	310509
652	2041	310524
653	2044	310508
654	2047	310522
655	2050	310566
656	2053	310551
657	2056	310523
658	2059	310487
659	2063	310516
660	2066	310509
661	2069	310492
662	2072	310472
663	2075	310454
664	2078	310409
665	2080	310372
666	2084	310398
667	2086	310337
668	2089	310303
669	2093	310302
670	2095	310254
671	2098	310231
672	2103	310423
673	2106	310408
674	2109	310400
675	2112	310397
676	2115	310382
677	2118	310328
678	2121	310274
679	2124	310301
680	2126	310205
681	2129	310179
682	2133	310168
683	2135	310108
684	2138	310051
685	2141	310049
686	2144	310018
687	2147	309964
688	2150	309996
689	2153	309936
690	2156	309893
691	2159	309907
692	2162	309870
693	2165	309818
694	2168	309830
695	2171	309782
696	2173	309725
697	2177	309795
698	2180	309771
699	2183	309729
700	2186	309739
701	2189	309713
702	2192	309755
703	2196	309755
704	2198	309703
705	2201	309663
706	2204	309624
707	2208	309672
708	2211	309637
709	2213	309599
710	2217	309629
711	2220	309593
712	2223	309591
713	2226	309616
714	2229	309614
715	2232	309589
716	2236	309619
717	2239	309730
718	2243	309751
719	2246	309721
720	2249	309682
721	2252	309723
722	2255	309686
723	2258	309641
724	2261	309640
725	2264	309595
726	2266	309560
727	2270	309543
728	2272	309517
729	2275	309453
730	2278	309382
731	2281	309395
732	2284	309356
733	2287	309308
734	2289	309257
735	2292	309238
736	2295	309233
737	2298	309199
738	2301	309159
739	2304	309117
740	2307	309065
741	2310	309051
742	2313	309100
743	2316	309092
744	2319	309030
745	2322	308967
746	2324	308878
747	2327	308805
748	2329	308745
749	2332	308706
750	2335	308686
751	2338	308675
752	2341	308657
753	2344	308629
754	2347	308592
755	2350	308569
756	2353	308550
757	2356	308536
758	2359	308498
759	2362	308460
760	2365	308418
761	2369	308532
762	2372	308587
763	2381	309361
764	2385	309414
765	2388	309386
766	2391	309392
767	2394	309395
768	2397	309378
769	2400	309304
770	2402	309238
771	2405	309235
772	2408	309173
773	2411	309136
774	2414	309183
775	2418	309217
776	2421	309206
777	2424	309185
778	2427	309216
779	2430	309199
780	2433	309181
781	2436	309180
782	2439	309140
783	2442	309120
784	2445	309146
785	2448	309113
786	2451	309051
787	2454	309030
788	2457	309014
789	2460	308995
790	2463	308992
791	2466	308963
792	2469	308914
793	2472	308881
794	2475	308904
795	2478	308853
796	2480	308801
797	2484	308797
798	2486	308770
799	2489	308736
800	2492	308736
801	2495	308719
802	2498	308691
803	2502	308693
804	2505	308778
805	2509	308801
806	2512	308782
807	2515	308798
808	2518	308757
809	2521	308721
810	2524	308751
811	2527	308703
812	2530	308679
813	2532	308645
814	2535	308624
815	2538	308579
816	2541	308559
817	2544	308515
818	2547	308508
819	2550	308538
820	2553	308521
821	2556	308499
822	2559	308463
823	2563	308481
824	2565	308449
825	2568	308429
826	2571	308399
827	2574	308339
828	2577	308288
829	2580	308272
830	2582	308224
831	2585	308164
832	2588	308128
833	2591	308090
834	2594	308085
835	2597	308119
836	2600	308091
837	2603	308100
838	2606	308102
839	2610	308119
840	2613	308090
841	2615	308062
842	2618	308018
843	2621	308012
844	2624	308013
845	2627	308001
846	2631	307997
847	2634	307987
848	2637	307974
849	2640	307980
850	2643	308048
851	2647	308084
852	2650	308096
853	2653	308066
854	2656	308071
855	2659	308036
856	2662	308010
857	2665	307969
858	2668	307949
859	2671	307918
860	2674	307898
861	2677	307912
862	2680	307885
863	2683	307860
864	2686	307837
865	2689	307819
866	2691	307785
867	2694	307749
868	2697	307716
869	2700	307672
870	2703	307662
871	2706	307642
872	2709	307621
873	2712	307595
874	2714	307552
875	2717	307547
876	2720	307509
877	2723	307477
878	2726	307427
879	2729	307396
880	2731	307363
881	2734	307332
882	2737	307293
883	2740	307252
884	2743	307228
885	2746	307222
886	2749	307250
887	2752	307221
888	2755	307197
889	2758	307183
890	2761	307145
891	2764	307141
892	2767	307091
893	2770	307084
894	2772	307045
895	2775	307021
896	2779	307058
897	2782	307105
898	2785	307071
899	2788	307077
900	2791	307037
901	2793	306894
902	2796	306851
903	2799	306845
904	2802	306862
905	2805	306859
906	2808	306854
907	2811	306810
908	2814	306793
909	2817	306762
910	2819	306720
911	2822	306685
912	2825	306660
913	2828	306664
914	2831	306675
915	2835	306690
916	2838	306715
917	2841	306723
918	2844	306718
919	2847	306709
920	2850	306688
921	2853	306649
922	2856	306639
923	2859	306600
924	2862	306565
925	2865	306535
926	2867	306507
927	2870	306493
928	2873	306449
929	2876	306412
